"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Feeding Jejunostomy","Feeding Jejunostomy","SG012A","13600","Increased","15000","15000","17600","18800","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Colostomy","Colostomy","SG023A","17200","Increased","20000","20000","23400","25000","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Closure of stoma","Closure of stoma","SG024A","14500","Increased","16687.5","16700","19600","20900","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Distal Pancreatectomy with
Pancreatico Jejunostomy","Distal Pancreatectomy/Pancreatico
Jejunostomy with/without spleenlectomy","SG044A","25000","Increased","35625","44600","50600","44600","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Hepatic Resection","Open","SG037A","20000","Increased","37500","37500","53300","46900","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Hepatic Resection","Lap","SG037B","20000","Increased","37500","37500","53300","46900","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Retroperitoneal Tumor –
Excision","Retroperitoneal Tumor – Excision","SG049A","23600","Increased","31350","39200","44600","47100","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Complete Excision of Growth
from Tongue only (inclusive
of Histopathology)","Complete Excision of Growth from
Tongue only
(inclusive of Histopathology)","SG063A","9400","Increased","16650","20900","23700","25000","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Excision of Parathyroid
Adenoma / Carcinoma","Excision of Parathyroid
Adenoma/Carcinoma","SG071A","20400","Increased","25000","25000","29300","31300","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery","Orchidectomy","Orchidectomy","SG059A","11700","Increased","12000","12000","14100","15000","","No","NA"
"SG","General Surgery,
Surgical Oncology, ENT","Radical Neck Dissection","Radical Neck Dissection","SG067A","21800","Increased","26925","33700","38300","40400","","No","NA"
"SG","General Surgery,
Surgical Oncology,
CTVS","Carotid Body tumour -
Excision","Carotid Body tumour - Excision","SG069A","20000","Increased","30000","37500","42600","45000","","No","NA"
"SG","General Surgery,
Surgical Oncology","Anterior Resection of rectum","Open","SG029A","40900","Increased","50000","50000","71000","62500","","No","NA"
"SG","General Surgery,
Surgical Oncology","Oesophagectomy","Oesophagectomy","SG001A","38400","Increased","100000","125000","142000","150000","","No","NA"
"SG","General Surgery,
Surgical Oncology","Gastrectomy","Partial Gastrectomy for Carcinoma","SG003C","27800","Increased","34800","43500","49500","52200","","No","NA"
"SG","General Surgery,
Surgical Oncology","Gastrectomy","Subtotal Gastrectomy for Carcinoma","SG003D","27800","Increased","34800","43500","49500","52200","","No","NA"
"SG","General Surgery,
Surgical Oncology","Gastrectomy","Total Gastrectomy - Lap.","SG003E","51600","Increased","65000","81300","92300","97500","","No","NA"
"SG","General Surgery,
Surgical Oncology","Gastrectomy","Total Gastrectomy - Open","SG003F","51600","Increased","65000","81300","92300","97500","","No","NA"
"SG","General Surgery,
Surgical Oncology","Gastrojejunostomy","Gastrojejunostomy","SG010A","24200","Increased","30000","30000","35100","37500","","No","NA"
"SG","General Surgery,
Surgical Oncology","Hemi colectomy","Right-Open","SG021A","25000","Increased","28125","35200","40000","42200","","No","NA"
"SG","General Surgery,
Surgical Oncology","Hemi colectomy","Right- Lap","SG021B","25000","Increased","28125","35200","40000","42200","","No","NA"
"SG","General Surgery,
Surgical Oncology","Total Colectomy","Open","SG020A","23000","Increased","38625","48300","54900","48300","","No","NA"
"SG","General Surgery,
Surgical Oncology","Total Colectomy","Lap","SG020B","23000","Increased","38625","48300","54900","48300","","No","NA"
"SG","General Surgery,
Surgical Oncology","Hemi colectomy","Left-Open","SG021C","25000","Increased","28125","35200","40000","35200","","No","NA"
"SG","General Surgery,
Surgical Oncology","Hemi colectomy","Left- Lap","SG021D","25000","Increased","28125","35200","40000","35200","","No","NA"
"SG","General Surgery,
Surgical Oncology","Rectal Polyp Excision","Rectal Polyp Excision","SG028A","9600","Increased","10000","10000","11700","12500","","No","NA"
"SG","General Surgery,
Surgical Oncology","Anterior Resection of rectum","Lap","SG029B","40900","Increased","50000","50000","58500","62500","","No","NA"
"SG","General Surgery,
Surgical Oncology","PancreaticoDuodenectomy
(Whipple's)","PancreaticoDuodenectomy (Whipple's)","SG045A","37300","Increased","100000","125000","142000","150000","","No","NA"
"SG","General Surgery,
Surgical Oncology","Bypass - Inoperable
Pancreas","Bypass - Inoperable Pancreas","SG043A","46600","Increased","50000","62500","71000","62500","","No","NA"
"SG","General Surgery,
Surgical Oncology","Operation for Carcinoma Lip","Wedge Excision and Vermilionectomy","SG062B","23800","Increased","30000","37500","42600","37500","","No","NA"
"SG","General Surgery,
Surgical Oncology","Excision of Growth from
Tongue with neck node
dissection","Excision of Growth from Tongue with
neck node dissection","SG064A","23500","Increased","31312.5","39200","44500","47000","","No","NA"
"SG","General Surgery,
Surgical Oncology","Estlander Operation (lip)","Estlander Operation (lip)","SG061A","9300","Increased","14737.5","18500","21000","22200","","No","NA"
"SG","General Surgery,
Surgical Oncology","Operation for Carcinoma Lip","Wedge Excision","SG062A","19000","Increased","20025","25100","28500","25100","","No","NA"
"SG","General Surgery,
Surgical Oncology","Operation for Carcinoma Lip","Cheek advancement","SG062C","26800","Increased","30000","37500","42600","45000","","No","NA"
"SG","General Surgery,
Surgical Oncology","Mastectomy","Radical / Modified Radical Mastectomy","SG075B","25000","Increased","26250","32900","37300","39400","","No","NA"
"SG","General Surgery,
Surgical Oncology","Submandibular Mass
Excision","Submandibular Mass Excision","SG066A","18200","Increased","20000","25000","28400","30000","","No","NA"
"SG","General Surgery,
Surgical Oncology","Breast Lump Excision
(Benign)","Breast Lump Excision (Benign)","SG074A","8500","Increased","10000","10000","11700","12500","","Yes","LA - 6000
GA - 12000"
"SG","General Surgery,
Surgical Oncology","Mastectomy","Simple Mastectomy","SG075A","20000","Increased","25000","25000","29300","31300","","No","NA"
"SG","General Surgery,
Surgical Oncology","Flap Reconstructive Surgery","Flap Reconstructive Surgery","SG087A","26900","Increased","28837.5","36100","41000","43300","","No","NA"
"SG","General Surgery, Plastic
& Reconstructive
Surgery, Pediatric
Surgery","Split thickness skin grafts","Small (< 4% TBSA)","SG090A","13500","Increased","15000","18800","21300","18800","","No","NA"
"SG","General Surgery, Plastic
& Reconstructive
Surgery, Pediatric
Surgery","Split thickness skin grafts","Medium (4 - 8% TBSA)","SG090B","13500","Increased","14437.5","18100","20600","18100","","No","NA"
"SG","General Surgery, Plastic
& Reconstructive
Surgery, Pediatric
Surgery","Split thickness skin grafts","Large (> 8% TBSA)","SG090C","13500","Increased","16312.5","20400","23200","24500","","No","NA"
