"ST","Polytrauma,
Orthopedics,
Neurosurgery, General
Surgery","Management of Nerve Plexus
/ Tendon injuries","Nerve and/or tendon injury. A. Wound
exploration and closure. B. Nerve repair.
C. Tendon repair","ST009A","50000","Decrease","A. 15000/- (Under GA),
10,000/- (Under
Local/regional
anesthesia). B - 5000/-
per nerve. C - 3000/- per
tendon repair","A. 18750/- (Under GA),
12500/- (Under
Local/regional
anesthesia). B - 6250/-
per nerve. C - 3750/- per
tendon repair","A. 21300/- (Under GA),
14200/- (Under
Local/regional
anesthesia). B - 7100/-
per nerve. C - 4260/- per
tendon repair","A. 22500/- (Under GA),
1500/- (Under
Local/regional
anesthesia). B - 7500/-
per nerve. C - 4500/- per
tendon repair","Tendon rod - 7000/- per rod","No","NA"
"ST","Polytrauma,
Orthopedics,
Neurosurgery, General
Surgery","Management of Nerve Plexus
/ Tendon injuries","Nerve and/or tendon injury. A. Wound
exploration and closure. B. Nerve graft.
C. Tendon graft/transfer","ST009B","50000","Decrease","A. 15000/- (Under GA),
10,000/- (Under
Local/regional
anesthesia). B - 10000/-
per nerve graft. C -
6000/- per tendon
graft/transfer","A. 18750/- (Under GA),
12500/- (Under
Local/regional
anesthesia). B - 6250/-
per nerve. C - 3750/- per
tendon repair","A. 21300/- (Under GA),
14200/- (Under
Local/regional
anesthesia). B - 7100/-
per nerve. C - 4260/- per
tendon repair","A. 22500/- (Under GA),
1500/- (Under
Local/regional
anesthesia). B - 7500/-
per nerve. C - 4500/- per
tendon repair","","No","NA"
"ST","Polytrauma,
Orthopedics,
Neurosurgery, General
Surgery","Plexus injury along with
Vascular injury repair / graft","Nerve and/or tendon injury. A. Wound
exploration and closure. B. Nerve repair.
C. Tendon repair D. Vascular repair/graft","ST010A","60000","Decrease","A. 15000/- (Under GA),
10,000/- (Under
Local/regional
anesthesia). B - 5000/-
per nerve. C - 3000/- per
tendon repair D. 5000/-
per vascular repair and
5000/- extra for any vein
graft","A. 18750/- (Under GA),
12500/- (Under
Local/regional
anesthesia). B - 6250/-
per nerve. C - 3750/- per
tendon repair","A. 21300/- (Under GA),
14200/- (Under
Local/regional
anesthesia). B - 7100/-
per nerve. C - 4260/- per
tendon repair","A. 22500/- (Under GA),
1500/- (Under
Local/regional
anesthesia). B - 7500/-
per nerve. C - 4500/- per
tendon repair","","No","NA"
"US Unspecified Surgical PackagUenspecified Surgical Package Unspecified Surgical Package US001A New Upto one lakh na na na No NA
US Unspecified Surgical PackagUenspecified Surgical Package Unspecified Surgical Package US001B New one to five lakhs na na na #N/A #N/A
Note :
The benefits within this Scheme under the basic risk cover are to be provided on a cashless basis to the AB PM-JAY Beneficiaries up to the limit of their annual coverage
and includes: • Consulation/Teleconsulation •Hospitalization expense • Day care treatment (as applicable) • Follow-up care • Pre and post hospitalization expense • 
New born child / children."
