"SE","Ophthalmology","EUA for Confirmation of
Pediatric Glaucoma","EUA for Confirmation of Pediatric
Glaucoma","SE028A","3,000","No change","3000","3000","3600","3800","","No","NA"
"SE","Ophthalmology","Retinal Laser
Photocoagulation","For retinal tear repair Per Eye Per Sitting","SE029A","1,500","No change","1500","1500","1800","1900","","No","NA"
"SE","Ophthalmology","Retinal Laser
Photocoagulation","Pan Retinal Photocoagulation (PRP) -
Retinal Laser including 3 sittings /
package of retino laser photocoagulation
(3 sittings per eye for both eyes)","SE029B","8,500","No change","8500","8500","10000","10700","","No","NA"
"SE
SE
SE","Ophthalmology
Ophthalmology
Ophthalmology","ROP Laser - Per Eye
Retinal Cryopexy
Vitreoretinal Surgery (with
Silicon Oil Insertion)","ROP Laser - Per Eye
Retinal Cryopexy
Vitreoretinal Surgery (with Silicon Oil
Insertion)","SE030A
SE031A
SE032A","5,000
3,800
25,300","No change
No change
No change","5000
3800
25300","5000
3800
25300","5900
4500
36000","6300
4800
31700","Implant for "Vitreoretinal Surgery" (IOL & Per flouro
carbon liquid) - 6000","No
No
No","NA
NA
NA"
"SE
SE
SE","Ophthalmology
Ophthalmology
Ophthalmology","SOR (Silicon Oil Removal)
Enucleation
Enucleation","SOR (Silicon Oil Removal)
Without implant
With implant","SE033A
SE035A
SE035B","9,300
9,500
10,600","No change
No change
No change","9300
9500
10600","9300
11900
13300","10900
13500
15100","11700
14300
15900","Implant for "Enucleation" (Conformers
+ Plastic / silicon ball type implant) -
1000","No
No
No","NA
NA
NA"
"SE","Ophthalmology","Evisceration","Evisceration","SE036A","13,300","No change","13300","13300","18900","16700","Implant for "Evisceration" (Conformers
+ Plastic / silicon ball type implant) -
1000","No","NA"
"SE","Ophthalmology","Socket Reconstruction
including Amniotic
Membrane Graft","Socket Reconstruction including
Amniotic Membrane Graft","SE038A","11,200","No change","11200","14000","16000","16800","","No","NA"
"SE
SE
SE","Ophthalmology
Ophthalmology
Ophthalmology","Orbitotomy
Orbital fracture repair
Squint correction","Orbitotomy
Orbital fracture repair under GA
Major - 3 or more muscles (complex
surgery involving four muscles or
oblique muscles)","SE039A
SE041A
SE008B","14,000
10,500
14,000","No change
No change
Decrease","14000
10500
12000","17500
10500
12000","19900
12300
17100","21000
13200
15000","","No
No
No","NA
NA"
"SE","Ophthalmology","Corneo / Scleral / Corneo
scleral tear repair","Corneo / Scleral / Corneo scleral tear
repair","SE015A","11,500","Decrease","6000","7500","8600","7500","","No","NA"
"SE","Ophthalmology","Surgery for Pediatric
Cataract","Paediatric Membranectomy & anterior
vitrectomy","SE021C","31,500","Decrease","8000","10000","11400","12000","Foldable Hydrophobic intraocular lens
3000","No","NA"
"SE","Ophthalmology","Endophthalmitis (excluding
Vitrectomy)","Endophthalmitis (excluding Vitrectomy)","SE034A","8,000","Decrease","5000","5000","5900","6300","","No","NA"
"SE","Ophthalmology","Lid Tumor excision + Lid
Reconstruction","Lid Tumor excision + Lid Reconstruction","SE006A","10,000","Increased","14000","14000","16400","17500","","No","NA"
"SE
SE","Ophthalmology
Ophthalmology","Squint correction
Dacryocystorhinostomy","Minor - upto 2 muscles
Canaliculo Dacryocystorhinostomy with
Silicon Tube / Stent","SE008A
SE010A","4,000
8,000","Increased
Increased","4050
10000","4100
12500","4800
14200","5100
15000","Silicon Tube / Silicon stent - 2000","No
No","NA
NA"
"SE","Ophthalmology","Dacryocystorhinostomy","Dacryocystorhinostomy with Silicon
Tube / Stent","SE010C","8,000","Increased","10000","12500","14200","15000","Silicon Tube / Silicon stent - 2000","No","NA"
"SE","Ophthalmology/ General
Medicine","Glaucoma Screening","Vision Refraction-IOP & Fundus","SE043A","new procedure","New","750","800","900","1000","","#N/A","#N/A"
"SE","Ophthalmology/ General
Medicine","Glaucoma Screening","Vision Refraction-IOP & Fundus OCT &
Visual Fields","SE043B","new procedure","New","1500","1500","1800","1900","","#N/A","#N/A"
"SE","Ophthalmology/ General
Medicine","Diabetic Retinopathy
Screening","Vision refraction,fundus photo and OCT","SE044A","new procedure","New","1000","1000","1200","1300","","#N/A","#N/A"
"SG","General Surgery,
Urology","Vasovasostomy","Vasovasostomy","SG058A","12000","No change","12000","12000","14100","15000","","No","NA"
"SG","General Surgery,
Pediatric Surgery,
Obstetrics & Gynecology","Closure of Burst Abdomen","Closure of Burst Abdomen","SG036A","15000","No change","15000","15000","17600","18800","","No","NA"
"SG","General Surgery,
Pediatric Surgery,
Obstetrics & Gynecology","Biopsy","Lymph Node","SG096A","5000","No change","5000","5000","5900","6300","","No","NA"
"SG","General Surgery,
Pediatric Surgery","Incision & Drainage of
Abscess","Incision & Drainage of Abscess","SG084A","5000","No change","5000","5000","5900","6300","","Yes","LA - 5000
GA - 10000"
"SG","General Surgery","Exicision of Sinus and
Curettage","Exicision of Sinus and Curettage","SG034A","5000","No change","5000","5000","5900","6300","","No","NA"
"SG","General Surgery","Microlaryngoscopic Surgery","Microlaryngoscopic Surgery","SG065A","18500","No change","18500","18500","26300","23200","","No","NA"
"SG","General Surgery","Lipoma / Cyst / other
cutaneous swellings Excision","Lipoma Excision","SG085A","5000","No change","5000","5000","5900","6300","","Yes","LA - 5000
GA - 10000"
"SG","General Surgery","Lipoma / Cyst / other
cutaneous swellings Excision","Cyst Excision","SG085B","5000","No change","5000","5000","5900","6300","","Yes","LA - 5000
GA - 10000"
"SG","General Surgery","Lipoma / Cyst / other
cutaneous swellings Excision","Other cutaneous swellings Excision","SG085C","5000","No change","5000","5000","5900","6300","","Yes","LA - 5000
GA - 10000"
"SG","General Surgery","AV Fistula without prosthesis","AV Fistula without prosthesis","SG094A","18400","No change","18400","18400","21600","23000","","No","NA"
"SG","General Surgery,
Pediatric Surgery","Operation for Hydrocele (U/L)","Operation for Hydrocele (U/L)","SG056A","15700","Decrease","10000","10000","11700","12500","","No","NA"
"SG","General Surgery","Gastrectomy","Bleeding Ulcer - Partial Gastrectomy
with Vagotomy","SG003B","64100","Decrease","50000","62500","71000","62500","","No","NA"
"SG
SG
SG","General Surgery
General Surgery
General Surgery","Haemorroidectomy
Haemorroidectomy
Excision of cyst / Sebaceous
Cysts over scrotum","with Stapler
without Stapler
Multiple Cysts","SG032B
SG032A
SG054B","15000
15000
7000","Decrease
Decrease
Decrease","12000
12000
5000","12000
12000
5000","14100
14100
5900","15000
15000
6300","Haemorroid Stapler one- 15000","No
No
No","NA
NA
NA"
"SG
SG
SG","General Surgery
General Surgery
General Surgery","Excision Filarial Scrotum
Excision Mammary Fistula
Debridement of Ulcer","Excision Filarial Scrotum
Excision Mammary Fistula
Debridement of Ulcer","SG055A
SG076A
SG086A","10400
14500
11400","Decrease
Decrease
Decrease","8000
12000
5000","8000
12000
5000","9400
14100
5900","10000
15000
6300","","No
No
Yes","NA
NA
LA - 5000
GA - 10000"
"SG","General Surgery","Circumcision","Circumcision - Phimosis / Paraphimosis
or any other clinical condition","SG104A","20000","Decrease","10000","10000","14200","12500","","No",""
"SG
SG","General Surgery
General Surgery,
Surgical Oncology,
Plastic & Reconstructive
Surgery","Caecopexy
Skin Flaps - Rotation Flaps","Caecopexy
Skin Flaps - Rotation Flaps","SG101A
SG091A","30000
11400","Decrease
Increased","20000
23025","25000
28800","28400
32700","25000
34600","","No
No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery, ENT","Thyroidectomy","Total Thyroidectomy with Block
Dissection","SG070C","28000","Increased","34875","43600","49600","43600","","No","NA"
"SG","General Surgery,
Surgical Oncology,
Pediatric Surgery, ENT","Thyroidectomy","Hemi thyroidectomy","SG070A","23200","Increased","26220","26300","30700","32800","","No","NA"
