"SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC
SC","Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical OncoloMgeyd
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical OncologyA
Surgical Oncology
Surgical OncoloSgcya l
Surgical Oncology
Surgical Oncology
Surgical Oncology
Surgical OncologyM
Surgical Oncology
Surgical Oncology
Surgical OncolVogeyrt
Surgical Oncology
Surgical Oncology
Surgical OncologPy
Surgical Oncology
SurgicalC Oytnocroeldougcyt i","Central airway tumour debulking
Diagnostic thoracoscopy
Sleeve resection of lung cancer
Mediastinoscopy
Mediastinoscopy
Removal of Chest Wall Tumour
Removal of Chest Wall Tumour
Pleurectomy Decortication
Chamberlain procedure
Extrapleural pneumonectomy
Pneumonectomy
Lung metastectomy
Thoracostomy
Mediastinal lymphadenectomy
iastinal mass excision with lung resMeecdtiioans t
Segmental resection of lung
Segmental resection of lung
Wedge resection lung
Breast conserving surgery
Breast conserving surgery
xillary Sampling / Sentinel Node BioApxsilyla
Axillary dissection
p tumour excision with skull bone eSxcciaslipo ntu
Neuroblastoma Excision
Neck dissection - comprehensiveN
Benign Soft Tissue Tumour - ExcisBioenn
alignant Soft Tissue Tumour -ExcisMioanli
Rotationplasty
Endoprosthesis Revision
ebral Tumour Excision and ReconsVtruerctteiobnr
Curopsy / Sclerotherapy
Chemo Port Insertion
osterior Exenteration (Gynaec)
BiSlautregriacla pl eOlvnicc olylomgpyh  Node Dissection (BPLNBDil)a1te8r
Plastic surgery flap division
ve surgery for ovarian cancer","Central airway tumour debulking
Diagnostic thoracoscopy
Sleeve resection of lung cancer
Diagnostic
Staging
Chest Wall Tumour Excision
Removal of chest wall tumour with reconstruction
Pleurectomy Decortication
Chamberlain procedure
Extrapleural pneumonectomy
Pneumonectomy
VATS
Thoracostomy
Video - assisted
inal mass excision with lung resection
Open
Thoracoscopic
Thoracoscopic
Breast conserving surgery (lumpectomy + axillary SsuCr0g5e9ryA)
Breast conserving surgery with Oncoplasty
ry Sampling / Sentinel Node Biopsy
Axillary dissection
mour excision with skull bone excision
Neuroblastoma Excision
eck dissection - comprehensive
ign Soft Tissue Tumour - Excision (Small)
gnant Soft Tissue Tumour (Small)- Excision (NSeCw0 6p7roAc edure)
Rotationplasty
Complete
al Tumour Excision and Reconstruction
Curopsy / Sclerotherapy
Chemo Port Insertion
Posterior Exenteration (Gynaec)
al pelvic lymph Node Dissection (BPLND)
Head & Neck Flap Cutting any type
Cytoreductive surgery for ovarian cancer","SC044A
SC045A
SC046A
SC047A
SC047B
SC048A
SC048B
SC049A
SC050A
SC051A
SC052A
SC053B
SC054A
SC055B
SC056A
SC057A
SC057B
SC058B
SC059B
SC060A
SC061A
SC062A
SC063A
SC065A
SC066A
SC069A
SC071A
SC072A
SC075A
SC076A
SC077A
SC078A
SC079A
SC081A","22800
15000
70000
35900
35900
63300
94200
39000
22200
66000
54000
46600
19800
72200
60000
67700
67700
60400
38400
44900
16200
19800
30000
60000
16000
14900
24000
45000
72800
54000
19200
18000
70000
25000
5000
60000","Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased","28043.7
20708.7
91786.05
43163.2
43163.2
87762.8
99325.29
51328.65
24511.2
86536.05
76057.35
59043.2
23611.2
78664.5
81308.55
69564
69564
79923.2
49139.6
45231.3
20663.7
25702.35
35534.85
84488.55
26579.85
15419.52
40744.35
64036.05
77648.7
79921.05
22283.7
19186.2
80866.05
44824.35
19163.7
72588.4","35100
20800
114800
43200
43200
109800
124200
64200
30700
108200
95100
73900
29600
98400
101700
87000
87000
100000
49200
45300
20700
25800
44500
105700
33300
19300
51000
80100
97100
100000
27900
24000
101100
44900
24000
72600","39900
29500
130400
61300
61300
124700
141100
72900
34900
122900
108100
83900
33600
111800
115500
98800
98800
113500
69800
64300
29400
36500
50500
120000
37800
21900
57900
91000
110300
113500
31700
27300
114900
63700
27300
103100","42100
25900
137700
54000
54000
131700
149000
77000
36800
129900
114100
88600
35500
118000
122000
104400
104400
119900
61500
56600
25900
32200
53400
126800
39900
23200
61200
96100
116500
119900
33500
28800
121300
56100
28800
90800","Chemo Port - Adult - 15000 Chemo Port - Pediatric - 25000","No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No","NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
"SC","Surgical Oncology","Wide Excision- Oral Cavity MalignaWnciyd","e Excision- Oral Cavity Malignancy","SC082A","new procedure","New","39163.2","49000","55700","58800","","#N/A","#N/A"
"SE","Ophthalmology,Pediatric
Medical Management,
General Medicine","Optic neuritis","Optic neuritis","SE042A","2,100","No change","2100","2100","12300","2700","","#N/A","#N/A"
"SE","Ophthalmology, Surgical
Oncology","Exenteration","Exenteration","SE037A","23,700","No change","23700","23700","33700","29700","","No","NA"
"SE","Ophthalmology, ENT,
General Surgery,
Radiation Oncology","GA / EUA separate add on
package","GA / EUA separate add on package","SE040A","3,000","No change","3000","3000","3600","3800","","No","NA"
"SE
SE
SE
SE
SE
SE
SE","Ophthalmology
Ophthalmology
Ophthalmology
Ophthalmology
Ophthalmology
Ophthalmology
Ophthalmology","Ptosis Surgery
Entropion correction
Ectropion correction
Lid Tear Repair
Lid Abscess Drainage
Chalazion Removal
Conjunctival tumour excision
including Amniotic
Membrane Graft","Ptosis Surgery
Entropion correction
Ectropion correction
Lid Tear Repair
Lid Abscess Drainage
Chalazion Removal
Conjunctival tumour excision including
Amniotic Membrane Graft","SE001A
SE002A
SE003A
SE004A
SE005A
SE007A
SE009A","8,000
6,600
6,500
7,700
5,700
2,000
7,000","No change
No change
No change
No change
No change
No change
No change","8000
6600
6500
7700
5700
2000
7000","8000
6600
6500
7700
5700
2000
7000","9400
7800
7700
9100
6700
2400
10000","10000
8300
8200
9700
7200
2500
8800","Tissue graft- amniotic membrane","No
No
No
No
No
No
No","NA
NA
NA
NA
NA
NA
NA"
"SE","Ophthalmology","Dacryocystorhinostomy","Canaliculo Dacryocystorhinostomy
without Silicon Tube / Stent","SE010B","8,000","No change","8000","10000","11400","10000","","No","NA"
"SE","Ophthalmology","Dacryocystorhinostomy","Dacryocystorhinostomy without Silicon
Tube / Stent","SE010D","8,000","No change","8000","10000","11400","10000","","No","NA"
"SE
SE
SE
SE","Ophthalmology
Ophthalmology
Ophthalmology
Ophthalmology","Corneal Ulcer Management
Corneal Grafting
Corneal Grafting
Corneal Collagen
Crosslinking","Corneal Ulcer Management
Corneal Grafting
Lamellar Keratoplasty
Corneal Collagen Crosslinking","SE011A
SE012A
SE012C
SE013A","4,000
10,900
13,750
14,000","No change
No change
No change
No change","4000
10900
13750
14000","5000
13700
17200
17500","5700
15500
19600
19900","5000
13700
20700
21000","","No
No
No
No","NA
NA
NA
NA"
"SE","Ophthalmology","Pterygium + Conjunctival
Autograft","Pterygium + Conjunctival Autograft","SE014A","9,300","No change","9300","11700","13300","11700","","No","NA"
"SE","Ophthalmology","Corneal / Scleral Patch Graft","Corneal / Scleral Patch Graft","SE016A","5,800","No change","5800","7300","8300","7300","","No","NA"
"SE
SE
SE
SE","Ophthalmology
Ophthalmology
Ophthalmology
Ophthalmology","Scleral buckling surgery
Scleral Buckle Removal
Limbal Dermoid Removal
Cataract surgery","Scleral buckling surgery
Scleral Buckle Removal
Limbal Dermoid Removal
Phaco emulsification with foldable
hydrophobic acrylic IOL","SE017A
SE018A
SE019A
SE020A","19,700
5,500
2,000
4,500","No change
No change
No change
No change","19700
5500
2000
4500","24700
6900
2500
4500","28000
7900
2900
5300","24700
6900
2500
5700","Tissue graft - Cornea / Sclera - 3000
Foldable Hydrophobic intraocular lens
3000","No
No
No
No","NA
NA
NA
NA"
"SE
SE","Ophthalmology
Ophthalmology","Cataract surgery
Surgery for Pediatric
Cataract","SICS with non-foldable IOL
Paediatric lensectomy","SE020B
SE021A","4,000
9,200","No change
No change","4000
9200","4000
11500","4700
13100","5000
13800","Non foldable IOL - 1000
Foldable Hydrophobic intraocular lens
3000","No
No","NA
NA"
"SE","Ophthalmology","Surgery for Pediatric
Cataract","Pediatric lens aspiration with posterior
capsulotomy & anterior vitrectomy","SE021B","9,200","No change","9200","11500","13100","13800","Foldable Hydrophobic intraocular lens
3000","No","NA"
"SE
SE","Ophthalmology
Ophthalmology","Capsulotomy (YAG)
SFIOL (inclusive of
Vitrectomy)","Capsulotomy (YAG)
SFIOL (inclusive of Vitrectomy)","SE022A
SE023A","1,500
15,000","No change
No change","1500
15000","1900
18800","2200
21300","1900
18800","Glue for Scleral fixated IOL - 3000","No
No","NA
NA"
"SE","Ophthalmology","Secondary IOL / IOL
Exchange / Explant","Secondary IOL / IOL Exchange / Explant","SE024A","6,200","No change","6200","6200","7300","7800","IOL - 3000","No","NA"
"SE
SE
SE","Ophthalmology
Ophthalmology
Ophthalmology","IRIS Prolapse – Repair
Iridectomy
Glaucoma Surgery","IRIS Prolapse – Repair
Iridectomy
Cyclocryotherapy /
Cyclophotocoagulation","SE025A
SE026A
SE027A","4,500
2,000
3,700","No change
No change
No change","4500
2000
3700","4500
2000
4700","5300
2400
5300","5700
2500
5600","","No
No
No","NA
NA
NA"
