"Interventi
onal
Radiology","Interventional Radiology","Intervention for Acute stroke
(Aspiration & stent retrival)","Intervention for Acute stroke (Aspiration
& stent retrival)","IN048A","new procedure","New","393200","393200","500000","500000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Endovascular therapy for
intracranial aneurysm","Aneurysm-5 Coil","IN049A","new procedure","New","216300","270400","307200","324500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Endovascular therapy for
intracranial aneurysm","Aneurysm-7 Coil","IN049B","new procedure","New","257300","321700","365400","386000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Endovascular therapy for
intracranial aneurysm","5 Coil + Balloon","IN049C","new procedure","New","276300","345400","392400","414500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Endovascular therapy for
intracranial aneurysm","5 Coil + Balloon+Stent","IN049D","new procedure","New","432300","432300","500000","500000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Endovascular therapy for
intracranial aneurysm","7 Coil + Balloon+Stent","IN049E","new procedure","New","474300","474300","500000","500000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Arteriovenous fistula
(AVF)/Arteriovenous
Malformation (AVM)","Pial AVF (Single hole)","IN050A","new procedure","New","96300","120400","136800","144500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Arteriovenous fistula
(AVF)/Arteriovenous
Malformation (AVM)","AVF","IN050B","new procedure","New","104300","130400","148200","156500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Arteriovenous fistula
(AVF)/Arteriovenous
Malformation (AVM)","AVM (nidus upto 3 cm)","IN050C","new procedure","New","125300","156700","178000","188000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Carotid angioplasty &
stenting","Carotid stenting","IN051A","new procedure","New","100000","125000","142000","150000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Carotid angioplasty &
stenting","Carotid stenting-membrane layered","IN051B","new procedure","New","141300","176700","200700","212000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Intracranial stenting for
Intracranialatheroscelorosis
disease (ICAD)","Intracranial stenting for
Intracranialatheroscelorosis disease
(ICAD)","IN052A","new procedure","New","364300","364300","500000","500000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Dural sinus stenting","Dural sinus stenting","IN052B","new procedure","New","106300","132900","151000","159500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Carotid stenting with
protection device","Carotid stenting with protection device","IN052C","new procedure","New","166300","207900","236200","249500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Vasospasm management-
post coiling/clipping *Cost
per session","Vasospasm management-post coiling/clipping *CoINst0 p5e2","D","new procedure","New","64700","80900","91900","97100","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Retinoblastoma package","Retinoblastoma under GA","IN053A","new procedure","New","72100","90200","102400","108200","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous
cholecystostomy","Percutaneous cholecystostomy","IN054A","new procedure","New","17640","22100","25100","26500","Balloon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","PAIR / percutaneous
sclerotherapy for Hydatid cyst","PAIR / percutaneous sclerotherapy for
Hydatid cyst","IN055A","new procedure","New","7320","9200","10400","11000","Balloon+Metallic stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Oesophageal /gastric /
duodenal / colonic
stenting/balloon dilatation","Oesophageal /gastric / duodenal /
colonic stenting/balloon dilatation","IN056A","new procedure","New","19080","23900","27100","28700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Transjugular Liver biopsy","Transjugular Liver biopsy","IN057A","new procedure","New","14040","17600","20000","21100","Gastrostomy set","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous gastrostomy","Percutaneous gastrostomy","IN058A","new procedure","New","6320","7900","9000","9500","lipoiodol+Microcather","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Transarterial
chemoembolization -
conventional (cTACE)","Transarterial chemoembolization -
conventional (cTACE)","IN059A","new procedure","New","47960","60000","68200","72000","DEB+Microcather","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Transarterial
chemoembolization - Drug
eluting beads (DEB-TACE)","Transarterial chemoembolization - Drug
eluting beads (DEB-TACE)","IN060A","new procedure","New","41160","51500","58500","61800","RUPS set,covered stent, uncovered stent,Balloon
catheter","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Transjugular intrahepatic
portosystemic shunt creation
(TIPSS) Direct transjugular
Intrahepatic Portosystemic
shunt(DIPSS)","Transjugular intrahepatic portosystemic
shunt creation (TIPSS) Direct
transjugular Intrahepatic Portosystemic
shunt(DIPSS)","IN061A","new procedure","New","75760","94700","107600","113700","lipoiodol+Ballon+coils 2","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Balloon-occluded retrograde
transvenous obliteration
(BRTO)","Balloon-occluded retrograde
transvenous obliteration (BRTO)","IN062A","new procedure","New","40760","51000","57900","61200","Vacsular Plu+coil+lipoidol","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Pre-operative portal vein
embolization","Pre-operative portal vein embolization","IN063A","new procedure","New","26680","33400","37900","40100","Pleurex kit","#N/A","#N/A"
