"Palliativ
e
Medicine","Surgical
Oncology/Radiation
Oncology","Management of bleeding in
malignant head and neck /
inguinal malignancies","Trans arterial Embolization","PM003A","new procedure","New","60000","66000","75000","78000","","#N/A","#N/A"
"Palliativ
e
Medicine","Surgical Oncology/ Oro-
facio-maxillary surgeons
/ Radiation Oncology","Palliative Care Management
of Osteoradionecrosis -
Surgical intervention","Osteoradionecrosis -Surgical
intervention","PM004A","new procedure","New","40000","44000","50000","52000","","#N/A","#N/A"
"Palliativ
e
Medicine","Surgical Oncology /
PMR / General Surgery","Palliative Care approach to
managing Pressure sore in
advanced chronic diseases
who are bed ridden-Surgical","Pressure sore-Interventions","PM005A","new procedure","New","40000","44000","50000","52000","","#N/A","#N/A"
"Palliativ
e
Medicine","Surgical / Medical /
Radiation Oncology","Palliative surgical
interventions like-Colostomy,
Tracheostomy, Feeding
Jejunostomy/Gastrostomy,
Bowel bypas, Fistulas,
Urinary diversions etc.in
advanced cancer patients","Palliative surgical interventions","PM006A","new procedure","New","40000","44000","50000","52000","","#N/A","#N/A"
"Palliativ
e
Medicine","Radiation
Oncology/Neurosurgery","Malignant Spinal Cord
compression with
Diagnostics, palliative
radiotherapy, Brace in
advanced cancer patients","Malignant Spinal cord compression","PM007A","new procedure","New","15000","16500","18800","19500","","#N/A","#N/A"
"Palliativ
e
Medicine","Radiation
Oncology/Neurosurgery","Palliative nerurosurgical
interventions for secondary
vertebral and brain
metastasis","Palliative neurological interventions","PM008A","new procedure","New","60000","66000","75000","78000","","#N/A","#N/A"
"Palliativ
e
Medicine","palliativemedicine /
orthopedics","Palliative Care Management
of Osteoradionecrosis -
Conservative management","Osteoradionecrosis -Conservative","PM009A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Palliativemedcine
/general medicine","Communications in
Adavnced chronic diseases/
terminal stage of illness, for
patient and family members
with discussions on Goals of
care and facilitated shared
decision making","Communications terminal stage/ end of
life care Conservative","PM010A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Palliativemedcine
/general medicine","Palliative care management
of Breathlessness in
advanced cancers and
chronic respiratory diseases -
Conservative management","Palliative Management of Breathlessnes","PM011A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Palliativemedcine
/general medicine","Palliative Care Management
of Pain for treating Pain
crisis, analgesic titration","Cancer Pain Management","PM012A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Palliativemedcine
/general medicine","Palliative Care approach to
managing Pressure sore -
Conservative management","Pressure sore-in palliative care","PM013A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Palliativemedcine
/general medicine","Palliative Care Package for
Hiccups","Hiccups in Palliative care","PM014A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Palliativemedcine
/general medicine","Conservative management of
post procedural or teratment
related complications in
palliative medicine including
electrolyte disorders
(including hypercalcemia and
ketoacidosis).","Complications in palliative care patients","PM015A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Pallative
medicine/medical
oncology","Malignant Ascites drainage
with long term catheter
insertion in advanced cancer
patients","Ascitis tapping with long term indwelling
catheter","PM016A","new procedure","New","40000","44000","50000","52000","","#N/A","#N/A"
"Palliativ
e
Medicine","Pallative
medicine/medical
oncology","Palliative Care Approach to
managing Haematuria in
advanced cancer patients -
Conservative management","Hematuria in advance cancer patient","PM017A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Pallative
medicine/medical
oncology","Central lines in cancer
patients for drug therapy -
Silicon catheters in advanced
cancer patients- Long term
central lines","Long term indwelling venous catheter","PM018A","new procedure","New","10000","11000","12500","13000","","#N/A","#N/A"
"Palliativ
e
Medicine","Pallative
medicine/medical
oncology","Symptom Management of
Cough in advanced cancer
patients -Conservative
management","Intractable Cough in cancer patients -
Conservative management","PM019A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
"Palliativ
e
Medicine","Pallative
medicine/medical
oncology","Palliative Care Management
of Trismus, mucositis in
advanced cancer patient","Palliative care in Trismus mucositis","PM020A","new procedure","New","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","#N/A","#N/A"
