"SG","General Surgery","Choledochoduodenostomy
Or Choledocho Jejunostomy","Choledochoduodenostomy Or
Choledocho Jejunostomy","SG0118A","new procedure","New","35000","35000","41000","43800","","#N/A","#N/A"
"SG","General Surgery","Hepatico Jejunostomy for
biliary stricture","Hepatico Jejunostomy for biliary stricture","SG0119A","new procedure","New","45000","45000","52700","56300","","#N/A","#N/A"
"SG","General Surgery","I Stage- Sub Total Colectomy
+ Ileostomy + J - Pouch","I Stage- Sub Total Colectomy +
Ileostomy + J - Pouch","SG0120A","new procedure","New","80000","80000","93600","100000","","#N/A","#N/A"
"SG
SG","General Surgery
General Surgery","Pancreatic Necrosectomy
Distal Pancreatectomy +
Splenectomy","Pancreatic Necrosectomy
Distal Pancreatectomy + Splenectomy","SG0121A
SG0122A","new procedure
new procedure","New
New","60000
60000","60000
60000","70200
70200","75000
75000","","#N/A
#N/A","#N/A
#N/A"
"SG","General Surgery","Heller Myotomy (Lap./Open)","Heller Myotomy (Lap./Open)","SG0123A","new procedure","New","30000","30000","35100","37500","","#N/A","#N/A"
"SG","General Surgery","I Stage-Sub Total Colectomy
+ Ileostomy","I Stage-Sub Total Colectomy +
Ileostomy","SG0124A","new procedure","New","40000","40000","46800","50000","","#N/A","#N/A"
"SL
SL
SL
SL
SL
SL","ENT,Surgical Oncology,NeAunrotesruiorgr esrkyu l
ENT,Surgical Oncology,NeAunrotesruiorgr esrkyu l
ENT,Surgical Oncology,NeAunrotesruiorgr esrkyu l
ENT,Surgical Oncology,NeAunrotesruiorgr esrkyu l
ENT,Surgical Oncology,NeAunrotesruiorgr esrkyu l
ENT,Surgical Oncology","l base surgery
l base surgery
l base surgery
l base surgery
l base surgery
Excision of tumour of oral
cavity / paranasal sinus /
laryngopharynx with or
without reconstruction","Endoscopic CSF Rhinorrhea Repair
Optic nerve decompression
Orbital decompression
Craniofacial resection
Maxillary swing
Excision of tumour of oral cavity /
paranasal sinus / laryngopharynx
without reconstruction","SL029A
SL029B
SL029C
SL029D
SL029E
SL020A","26,000
25500
25500
25500
25500
10000","No change
No change
No change
No change
No change
No change","26000
25500
25500
25500
25500
10000","32500
31900
31900
31900
31900
12500","37000
36300
36300
36300
36300
14200","39000
38250
38250
38250
38250
15000","Fibrin Glue - 9000
Fibrin Glue - 9000
Fibrin Glue - 9000
Fibrin Glue - 9000
Fibrin Glue - 9000
Implant for Excision of tumour of oral
cavity / paranasal sinus / laryngopharynx - 20000","No
No
No
No
No
No","NA
NA
NA
NA
NA
NA"
"SL","ENT,Surgical Oncology","Excision of tumour of oral
cavity / paranasal sinus /
laryngopharynx with or
without reconstruction","Excision of tumour of oral cavity /
paranasal sinus / laryngopharynx
with pedicled flap reconstruction","SL020B","36500","No change","36500","45700","51900","54750","","No","NA"
"SL","ENT,Surgical Oncology","Excision of tumour of oral
cavity / paranasal sinus /
laryngopharynx with or
without reconstruction","Excision of tumour of oral cavity /
paranasal sinus / laryngopharynx with
free flap reconstruction","SL020C","25000","No change","25000","31300","35500","37500","Implant for Excision of tumour of oral
cavity / paranasal sinus / laryngopharynx - 20000","No","NA"
"SL","ENT,Surgical Oncology","Open laryngeal framework
surgery / Thyroplasty","Open laryngeal framework surgery /
Thyroplasty","SL025A","5000","No change","5000","5000","5900","6300","(Keel / Stent) -
15000","No","NA"
"SL","ENT,Surgical Oncology","Advanced anterior skull base","Endoscopic Hypophysectomy","SL030A","39,800","No change","39800","49800","56600","59700","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","surgery
Advanced anterior skull base
surgery","Clival tumour excision","SL030B","39,800","No change","39800","49800","56600","59700","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","Lateral skull base procedures","Subtotal petrosectomy","SL031A","24700","No change","24700","30900","35100","37050","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","Lateral skull base procedures","Post-traumatic facial nerve
decompression","SL031B","24700","No change","24700","30900","35100","37050","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","Lateral skull base procedures","CSF Otorrhoea repair","SL031C","24700","No change","24700","30900","35100","37050","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","Advanced lateral skull base
surgery","Fisch approach","SL032A","39,900","No change","39900","49900","56700","59850","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","Advanced lateral skull base","Translabyrinthine approach","SL032B","39,900","No change","39900","49900","56700","59850","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","surgery
Advanced lateral skull base
surgery","Transcochlear approach","SL032C","39,900","No change","39900","49900","56700","59850","Fibrin Glue - 9000","No","NA"
"SL","ENT,Surgical Oncology","Advanced lateral skull base
surgery","Temporal Bone resection","SL032D","39,900","No change","39900","49900","56700","59850","Fibrin Glue - 9000","No","NA"
"SL","ENT,Pediatric Surgery","Peritonsillar abscess
drainage / intraoral calculus
removal","Peritonsillar abscess drainage","SL017A","5800","No change","5800","5800","6800","7300","","No","NA"
"SL","ENT,Pediatric Surgery","Peritonsillar abscess
drainage / intraoral calculus
removal","Intraoral calculus removal","SL017B","5800","No change","5800","5800","6800","7300","","No","NA"
"SL","ENT,Pediatric Surgery","Rigid laryngoscopy /
bronchoscopy /
oesophagoscopy - Diagnostic
+ / - biopsy","Rigid laryngoscopy - Diagnostic + / -
biopsy","SL023A","7000","No change","7000","7000","8200","8800","","Yes","LA - 7000
GA - 12000"
"SL","ENT,Pediatric Surgery","Rigid laryngoscopy /
bronchoscopy /
oesophagoscopy - Diagnostic
+ / - biopsy","Rigid bronchoscopy - Diagnostic + /
- biopsy","SL023B","7000","No change","7000","7000","8200","8800","","Yes","LA - 7000
GA - 12000"
"SL","ENT,Pediatric Surgery","Rigid laryngoscopy /
bronchoscopy /
oesophagoscopy - Diagnostic
+ / - biopsy","Rigid oesophagoscopy - Diagnostic
+ / - biopsy","SL023C","7000","No change","7000","7000","8200","8800","","Yes","LA - 7000
GA - 12000"
"SL","","Openreductionandinternal
ENT,Oral & Maxillofacial Sfuixragteior yn, Polfa mstaicx i&l la R /e mc oannsdtirbulec  t /iv emO Spauexinrlgl areeryu","dction and internal fixation of","SL034A","14000","No change","14000","14000","16400","17500","(Plates / Screws) - 4000","Yes","Single - 14000
Multiple - 21000"
"SL","","zygoma
Openreductionandinternal
ENT,Oral & Maxillofacial Sfuixragteior yn, Polfa mstaicx i&l la R /e mc oannsdtirbulec  t /iv emO Spauennrdg irbeelreyu
zygoma","dction and internal fixation of","SL034B","14000","No change","14000","14000","16400","17500","(Plates / Screws) - 4000","Yes","Single - 14000
Multiple - 21000"
"SL","","Openreductionandinternal
ENT,Oral & Maxillofacial Sfuixragteior yn, Polfa mstaicx i&l la R /e mc oannsdtirbulec  t /iv ezO ySpgueonrmg reaeryu
zygoma","dction and internal fixation of","SL034C","14000","No change","14000","14000","16400","17500","(Plates / Screws) - 4000","Yes","Single - 14000
Multiple - 21000"
"SL","ENT,General Surgery,PeadTiraatcrihce Soustrogmeryy  /","Tracheotomy","Tracheostomy","SL026A","28000","No change","28000","28000","32800","35000","","Yes","LA - 6000
GA - 10000"
"SL","ENT,General Surgery,PeadTiraatcrihce Soustrogmeryy  /","Tracheotomy","Tracheotomy","SL026B","28000","No change","28000","28000","32800","35000","","Yes","LA - 6000
GA - 10000"
"SL","ENT,General Surgery,PeadPioastrti ct r aSuumrg ae rnye","Deepneckabscess drainage/
ck
exploration","Deep neck abscess drainage","SL028A","16,800","No change","16800","16800","19700","21000","","No","NA"
"SL","ENT,General Surgery,PeadPioastrti ct r aSuumrg ae rnye","Deepneckabscess drainage/
ck
exploration","Post trauma neck exploration","SL028B","16,800","No change","16800","21000","23900","25200","","No","NA"
"SL","ENT,General Surgery, SurNgieccakl  Odinscsoelcotgioyn","","Selective Benign neck tumour
excision","SL027A","18800","No change","18800","23500","26700","28200","","No","NA"
"SL","ENT,General Surgery, SurNgieccakl  Odinscsoelcotgioyn","","Comprehensive Benign neck tumour
excision","SL027B","18800","No change","18800","23500","26700","28200","","No","NA"
"SL","ENT,General Surgery, SurNgieccakl  Odinscsoelcotgioyn","","Selective Pharyngeal diverticulum
excision","SL027C","18800","No change","18800","23500","26700","28200","","No","NA"
"SL","ENT,General Surgery, SurNgieccakl  Odinscsoelcotgioyn","","Comprehensive Pharyngeal
diverticulum excision","SL027D","18800","No change","18800","23500","26700","28200","","No","NA"
"SL","ENT, Surgical Oncology,
General
Surgery","Parotidectomy","Total Parotidectomy","SL021A","28,200","No change","28200","28200","33000","35300","","No","NA"
"SL","ENT, Surgical Oncology,
General
Surgery","Parotidectomy","Superficial Parotidectomy","SL021B","23,800","No change","23800","23800","27900","29800","","No","NA"
