"MG","General Medicine,
Pediatric Medical
Management","Systematic lupus erythematosusD","Systematic lupus erythematosus (SLE)/
iffuse alveolar hemmorhage associated
with SLE","MG068A","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","No change","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","","Yes","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000"
"MG","General Medicine,
Pediatric Medical
Management","Snake bite","Snake bite","MG070A","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","No change","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","","Yes","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000"
"MG","General Medicine,
Pediatric Medical
Management","Poisoning","Acute organophosphorus poisoning","MG071A","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","No change","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","","Yes","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000"
"MG","General Medicine,
Pediatric Medical
Management","Poisoning","Other poisonings","MG071B","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","No change","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","Routine Ward - 2300
HDU - 3800
ICU (without Ventilator) -
8800
ICU (with Ventilator) -
10350","","Yes","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000"
"MG","General Medicine,
Pediatric Medical
Management","Plasmapheresis","Plasmapheresis","MG073A","2000","no change","2000","2000","2300","2300","","No","NA"
"MG","General Medicine,
Pediatric Medical
Management","Blood transfusion","Whole Blood transfusion","MG074A","2000","no change","2000","2000","2300","2300","","No","NA"
"MG","General Medicine,
Pediatric Medical
Management","Blood transfusion","Blood component including platelet
transfusion (RDP, PC, SDP)","MG074B","2000","no change","2000","2000","2300","2300","","No","NA"
"MG","General Medicine,
Nephrology, Organ
transplantation","Haemodialysis / Peritoneal
Dialysis","Acute Haemodialysis","MG072C","1500","no change","1500","1500","1800","1800","","No","#N/A"
"MG","General Medicine,
Nephrology, Organ
transplantation","Haemodialysis / Peritoneal
Dialysis","Chronic Haemodialysis","MG072D","1500","no change","1500","1500","1800","1800","","No","#N/A"
"MG","General Medicine,
Nephrology","Haemodialysis / Peritoneal
Dialysis","Peritoneal Dialysis","MG072B","1500","no change","Pd Catheter Insertion Rs
1500, PD fluid &
disposables Rs 1000 per
day","Pd Catheter Insertion Rs
1500, PD fluid &
disposables Rs 1000 per
day","Pd Catheter Insertion Rs
1700, PD fluid &
disposables Rs 1150 per
day","Pd Catheter Insertion Rs
1700, PD fluid &
disposables Rs 1150 per
day","","No","NA"
