"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (venous)","Angioplasty (IVC/central vein) with high
pressure balloon","IN027C","new procedure","New","46600","58300","66200","69900","Ballon+High Pressure large Balloon+metallic stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (venous)","Angioplasty and covered stent
placement (venous)","IN027D","new procedure","New","45080","56400","64100","67700","below knee Balloon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty Below knee
angioplasty","Angioplasty Below knee angioplasty","IN028A","new procedure","New","53280","66600","75700","80000","Drug Coated balloon/Cutting Ballon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (complex):
cutting balloon/drug coated
balloon","Angioplasty (complex): cutting
balloon/drug coated balloon","IN029A","new procedure","New","53160","66500","75500","79800","Graft","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Fenestration of dissecting
aneurysm","Fenestration of dissecting aneurysm","IN030A","new procedure","New","29800","37300","42400","44700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Post EVAR endoleak
management","Post EVAR endoleak management","IN031A","new procedure","New","21780","27300","31000","32700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","IVC filter placement","IVC filter placement","IN032A","new procedure","New","15520","19400","22100","23300","multiside hole thrombolysis catheter), r TPA , IVC filter","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","IVC filter Placeemnt with
Catheter directed
thrombolysis (arterial/venous)","IVC filter Placeemnt with Catheter
directed thrombolysis (arterial/venous)","IN032B","new procedure","New","28920","36200","41100","43400","Retrieval kit","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","IVC filter retrival","IVC filter retrival","IN032C","new procedure","New","11520","14400","16400","17300","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Miscellaneous vacular IR
procedure","Miscellaneous vascular IR procedure","IN033A","new procedure","New","9520","11900","13600","14300","Snare","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Retrival of intravascular
foreign body","Retrival of intravascular foreign body","IN034A","new procedure","New","13520","16900","19200","20300","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Joint/bursa intervention","Joint/bursa intervention","IN035A","new procedure","New","5520","6900","7900","8300","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Sacroiliac joint denervation","Sacroiliac joint denervation","IN036C","new procedure","New","15120","18900","21500","22700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Facet joint intra-articular
intervention- CS/Thoracic/LS","Facet joint intra-articular intervention-
CS/Thoracic/LS","IN037A","new procedure","New","5520","6900","7900","8300","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","median branch rhizotomy-
CS/Thoracic/LS","median branch rhizotomy-
CS/Thoracic/LS","IN037B","new procedure","New","15120","18900","21500","22700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Radiofrequency ablation-
Trigeminal nerve/genicular
nerve /celiac plexus /stellate
Ganglion/sympathetic nerve
(any branch)","Radiofrequency ablation-Trigeminal
nerve/genicular nerve /celiac plexus
/stellate Ganglion/sympathetic nerve
(any branch)","IN038A","new procedure","New","15120","18900","21500","22700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","PRP -suprascapular /tennis
elbow/other tendon","PRP -suprascapular /tennis elbow/other
tendon","IN039A","new procedure","New","5520","6900","7900","8300","Nucleotome set","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous
Discotomy/nucleotomy using
laser or nucleuotome","Percutaneous Discotomy/nucleotomy
using laser or nucleuotome","IN040A","new procedure","New","13520","16900","19200","20300","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Neural foraminal block","Neural foraminal block","IN041A","new procedure","New","5520","6900","7900","8300","RF probe","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Radiofrequency Ablation
(RFA) of bone tumor
/metastases/osteoid osteoma","Radiofrequency Ablation (RFA) of bone
tumor /metastases/osteoid osteoma","IN041A","new procedure","New","25440","31800","36200","38200","Microwave probe","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Microwave ablation of bone
tumor /osteoid osteoma","Microwave ablation of bone tumor
/osteoid osteoma","IN042A","new procedure","New","31840","39800","45300","47800","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Diskography","Diskography","IN043A","new procedure","New","5520","6900","7900","8300","Biopsy Gun","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty with medicated
SFA stent /Specialised stent
(arterial) CTO lesion","Angioplasty with medicated SFA stent
/Specialised stent (arterial) CTO lesion","IN044A","new procedure","New","238080","297600","338100","357200","High Pressure large Ballon+ specialised venous stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (central vein/ CIV
) with high pressure balloon
Aand specilaised venous
stent","Angioplasty (central vein/ CIV ) with high
pressure balloon Aand specilaised
venous stent","IN045A","new procedure","New","166200","207800","236100","249300","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Stent Retriever","Stroke-Stent Retreiver","IN046A","new procedure","New","232800","291000","330600","349200","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Aspiration","Stroke-Aspiration Catheter","IN047A","new procedure","New","248200","310300","352500","372300","","#N/A","#N/A"
