"Interventi
onal
Radiology","Interventional Radiology","Primary percutaneous
transhepatic biliary stenting
(SEMS)","Primary percutaneous transhepatic
biliary stenting (SEMS)","IN010A","new procedure","New","40520","50700","57600","60800","Metallic stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous transhepatic
biliary stenting (SEMS) after
prior PTBD","Percutaneous transhepatic biliary
stenting (SEMS) after prior PTBD","IN010B","new procedure","New","28360","35500","40300","42600","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous
cholangioplasty","Percutaneous cholangioplasty","IN011A","new procedure","New","12160","15200","17300","18300","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Hepatic venous wedge
pressure measurement
(HVPG)","Hepatic venous wedge pressure
measurement (HVPG)","IN012A","new procedure","New","13920","17400","19800","20900","LABS set","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Plug-assisted retrograde
transvenous obliteration
(PARTO)","Plug-assisted retrograde transvenous
obliteration (PARTO)","IN013A","new procedure","New","46020","57600","65400","69100","Lipoidol+coils(Vascular plug separate additional cost","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Tunnelled long-term venous
catheter","Tunnelled long-term venous catheter","IN014A","new procedure","New","11640","14600","16600","17500","Chemoport","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Tunelled longterm indwelling
catheter for refractory
ascites/pleural effusion","Tunelled longterm indwelling catheter for
refractory ascites/pleural effusion","IN014B","new procedure","New","13360","16700","19000","20100","Permcath","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Peripherally inserted central
catheter (PICC)","Peripherally inserted central catheter
(PICC)","IN015A","new procedure","New","7120","8900","10200","10700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous antegrade
uretric stenting after prior
PCN","Percutaneous antegrade uretric stenting
after prior PCN","IN015B","new procedure","New","13220","16600","18800","19900","RF Probe for Tumor ablation","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Lymphatic occlusion of
chylous leak","Lymphatic occlusion of chylous leak","IN016A","new procedure","New","17020","21300","24200","25600","Microwave antenna","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","PVA particle embolization
(without microcatheter)","PVA particle embolization (without
microcatheter)","IN017A","new procedure","New","12640","15800","18000","19000","Lipidol+Coils(2)","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Glue embolization (without
microcatheter)","Glue embolization (without
microcatheter)","IN018A","new procedure","New","20160","25200","28700","30300","Coils(3 )","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Glue embolization (with
microcatheter)","Glue embolization (with microcatheter)","IN018B","new procedure","New","32360","40500","46000","48600","Microcatheter+Coil (3)","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Coil embolization","Coil embolization (without microcatheter)","IN019A","new procedure","New","15980","20000","22700","24000","Microcatheter","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Alcohol embolisation","Alcohol embolisation","IN019B","new procedure","New","23480","29400","33400","35300","Balloon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","PVA embolization (with
microcatheter)","PVA embolization (with microcatheter)","IN020A","new procedure","New","30400","38000","43200","45600","Lipidol+Microcatheter+Coil","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Coil embolization (with
microcatheter)","Coil embolization (with microcatheter)","IN021A","new procedure","New","30340","38000","43100","45600","Vacsular Plug+Coils","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Vascular plug assisted
embolization","Vascular plug assisted embolization","IN022A","new procedure","New","39280","49100","55800","59000","Microcatheter","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (arterial)","Angioplasty (arterial)","IN025A","new procedure","New","28720","35900","40800","43100","Balloon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (arterial)","Angioplasty (arterial) using
microguidewire and guiding catheter","IN025B","new procedure","New","44560","55700","63300","66900","Balloon +metallic stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (arterial)","Angioplasty and bare metal stenting
(arterial) CTO lesion","IN025C","new procedure","New","60880","76100","86500","91400","Balloon + Covered stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (arterial)","Angioplasty and covered stent
placement (arterial)","IN025D","new procedure","New","50120","62700","71200","75200","multiside hole thrombolysis catheter), r TPA , balloon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (arterial)","Catheter directed thrombolysis
(arterial/venous)","IN025E","new procedure","New","35280","44100","50100","53000","multiside hole thrombolysis catheter), r TPA ,
Thrombectomy Catheter","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Thrombectomy followed by
thrombolysis (arterial/venous)","Thrombectomy followed by thrombolysis
(arterial/venous)","IN026A","new procedure","New","43680","54600","62100","65600","Balloon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (venous)","Angioplasty (venous)","IN027A","new procedure","New","20080","25100","28600","30200","Balloon+Metallic stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty (venous)","Angioplasty and stenting hepatic vein","IN027B","new procedure","New","50180","62800","71300","75300","High Pressure large Ballon","#N/A","#N/A"
