"SB","Orthopedics","Dorsal and lumber spine
fixation","Dorsal and lumber spine fixation THROUGH PosteSrBio0r 2a2pBp roach","","30000","No change","30000","37500","42600","45000","(Plate including screw) - 5000 per plate
or
Implant for Dorsal and lumber spine fixation (Cage) -
10000 or IMPLANT (PEDICLE SCREWS + RODS)-
25000","No","NA"
"SB","Orthopedics","Reconstruction of Cruciate
Ligament with implant and
brace","Posterior","SB049B","25700","No change","25700","32200","36500","38600","L
(Bio screw / Endobutton / Suture disc + Ethibond) -
17000, brace and crutches - 2000 per
piece,radiofrequency ablation wand - 18,000","No","NA"
"SB
SB
SB","Orthopedics
Orthopedics
Orthopedics","Bone grafting for Non union
Arthorotomy of any joint
Closed reduction of joint
dislocation","Bone grafting for Fracture Non union
Arthorotomy of any joint
Elbow","SB023A
SB024A
SB028C","18600
14000
13200","No change
No change
No change","18600
14000
13200","18600
14000
13200","21800
16400
15500","23300
17500
16500","","No
No
No","NA
NA
NA"
"SB
SB
SB","Orthopedics
Orthopedics
Orthopedics","Arthrolysis of joint
Arthrolysis of joint
Closed reduction of joint
dislocation","Elbow
Knee
Knee","SB025A
SB025B
SB028D","15000
15000
11400","No change
No change
No change","15000
15000
11400","15000
15000
11400","17600
17600
13400","18800
18800
14300","","No
No
No","NA
NA
NA"
"SB
SB
SB","Orthopedics
Orthopedics
Orthopedics","Arthrolysis of joint
Arthrodesis
Closed reduction of joint
dislocation","Ankle
Ankle / Triple with implant
Shoulder","SB025C
SB026A
SB028B","15000
17100
5500","No change
No change
No change","15000
17100
5500","15000
17100
5500","17600
24300
7900","18800
21400
6900","","No
No
No","NA
NA
NA"
"SB
SB
SB
SB
SB","Orthopedics
Orthopedics
Orthopedics
Orthopedics
Orthopedics","Arthrodesis
Arthrodesis
Single Stage Amputation
Two Stage Amputation
Arthrodesis","Shoulder
Wrist, Wrist with plating
Wrist
Wrist
Knee, Knee with plating/Nailing","SB026B
SB026C
SB043G
SB044G
SB026D","17100
17100
18600
23200
17100","No change
No change
No change
No change
No change","17100
17100
18600
23200
17100","17100
17100
18600
23200
17100","24300
24300
26500
33000
24300","21400
21400
23300
29000
21400","(Screw / Plate) - 5000
(Plate) - 5000
-Compression Assembly - 5000/ Ilizarov - 10000","No
No
No
No
No","NA
NA
NA
NA
NA"
"SB
SB
SB
SB
SB
SB
SB
SB","Orthopedics
Orthopedics
Orthopedics
Orthopedics
Orthopedics
Orthopedics
Orthopedics
Orthopedics","Single Stage Amputation
Two Stage Amputation
Single Stage Amputation
Two Stage Amputation
Arthrodesis
Disarticulation
Disarticulation
Closed reduction of joint
dislocation","Hand
Hand
Foot
Foot
Ankle / Triple without implant
Hind quarter
Fore quarter
Hip","SB043F
SB044F
SB043E
SB044E
SB026G
SB027A
SB027B
SB028A","18600
23200
18600
23200
17400
25000
25000
11400","No change
No change
No change
No change
No change
No change
No change
No change","18600
23200
18600
23200
17400
25000
25000
11400","18600
23200
18600
23200
17400
31300
31300
14300","26500
33000
26500
33000
24800
35500
35500
16200","23300
29000
23300
29000
21800
37500
31300
14300","","No
No
No
No
No
No
No
No","NA
NA
NA
NA
NA
NA
NA
NA"
"SB","Orthopedics","Open Reduction of Small Joint","","Open Reduction of Small Joint without fixation/OpSenB 0R2e9dAu ction of Small Joint8 w5i0th0  fixation","","No change","8500","8500","10000","10700","(K - Wire) - 300 for each K wire","No","NA"
"SB
SB
SB","Orthopedics
Orthopedics
Orthopedics","Tension Band Wiring
Hemiarthroplasty
Hemiarthroplasty","Tension Band Wiring
Unipolar
Bipolar (Non - Modular) cemented /non cemented","SB030A
SB031A
SB031B","13000
17400
17400","No change
No change
No change","13000
17400
17400","13000
17400
17400","15300
24800
24800","16300
21800
21800","(Wire) - 2000
Implant for Unipolar Hemiarthroplasty - 4000
Non - Modular - Non - Cemented - 8500
or
Non - Modular - Cemented - 12000","No
No
No","NA
NA
NA"
"SB","Orthopedics","Hemiarthroplasty","Bipolar (Modular) cemented/non cemented","SB031C","17400","No change","17400","17400","24800","21800","Modular - Cemented - 20000, Modular -Uncemented -
25000","No","NA"
