"Interventi
onal
Radiology","Interventional Radiology","Chemoport/implantable lines","Chemoport/implantable lines","IN064A","new procedure","New","11640","14600","16600","17500","PICC line","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Primary percutaneous
antegrade uretric stenting","Primary percutaneous antegrade uretric
stenting","IN065A","new procedure","New","19340","24200","27500","29100","Silicon Stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","USG guided percutaneous
ganglion/plexus block
(Neuronolysis)","USG guided percutaneous
ganglion/plexus block (Neuronolysis)","IN066A","new procedure","New","9120","11400","13000","13700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","CT guided percutaneous
ganglion/plexus block
(Neuronolysis)","CT guided percutaneous ganglion/plexus
block (Neuronolysis)","IN067A","new procedure","New","11520","14400","16400","17300","Vertebroplasty kit including cement","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Vertebroplasty/Cementoplast
y","Vertebroplasty/Cementoplasty","IN068A","new procedure","New","22040","27600","31300","33100","Kyphoplasty kit+Cement","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Kyphoplasty","Kyphoplasty","IN069A","new procedure","New","31740","39700","45100","47700","VABB gun","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Vaccum assisted breast
biopsy","Vaccum assisted breast biopsy","IN070A","new procedure","New","8520","10700","12100","12800","Lipidol","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","USG guided percutaneous
Microwave Ablation (MWA)-
benign breast /thyroid tumor","USG guided percutaneous Microwave
Ablation (MWA)- benign breast /thyroid
tumor","IN071A","new procedure","New","29440","36800","41900","44200","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Diagnostic angiography
(DSA)","Diagnostic angiography (DSA)","IN072A","new procedure","New","6960","8700","9900","10500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Gelfoam embolization
(without microcatheter)","Gelfoam embolization (without
microcatheter)","IN073A","new procedure","New","11640","14600","16600","17500","2 PVA particle","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Gelfoam embolization (with
microcatheter)","Gelfoam embolization (with
microcatheter)","IN073B","new procedure","New","23480","29400","33400","35300","PVA particle+Microcathetr","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Varicose vein: endovenous
treatment (for one limb)","Varicose vein: endovenous treatment
(for one limb)","IN074A","new procedure","New","12320","15400","17500","18500","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous Injection
sclerotherapy for low flow
vascular malformation","Percutaneous Injection sclerotherapy for
low flow vascular malformation","IN075A","new procedure","New","9120","11400","13000","13700","Coils(4 ), microcatheter","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Varicocele embolization","Varicocele embolization","IN076A","new procedure","New","18160","22700","25800","27300","Balloon+Drug Coated ballon/Cutting Ballon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Fistuloplasty / Thrombectomy
of dialysis fistula","Fistuloplasty / Thrombectomy of dialysis
fistula","IN077A","new procedure","New","32440","40600","46100","48700","IVC filter","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","EVOH Package","AVM (1 vial)","IN078A","new procedure","New","107300","134200","152400","161000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Tumor Embolization","Tumor Embolization","IN079A","new procedure","New","72037.5","90100","102300","108100","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","3 Coil + Balloon+Stent
Package","3 Coil + Balloon+Stent Package","IN080A","new procedure","New","177112.5","221400","251500","265700","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Percutaneous nephrostomy","Percutaneous nephrostomy","IN081A","new procedure","New","17640","22100","25100","26500","Silicon Stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","3 Coil + Balloon Package","3 Coil + Balloon Package","IN082A","new procedure","New","122662.5","153400","174200","184000","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty and bare metal
stenting (arterial)","Angioplasty and bare metal stenting
(arterial)","IN083A","new procedure","New","38520","48200","54700","57800","Balloon +metallic stent","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","TEVAR for aortic aneurysm/
dissection","TEVAR for aortic aneurysm/ dissection","IN084A","new procedure","New","66975","83800","95200","100500","Balloon","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Coil Package","Aneurysm-3 Coil","IN085A","new procedure","New","109807.5","137300","156000","164800","","#N/A","#N/A"
"Interventi
onal
Radiology","Interventional Radiology","Angioplasty and bare metal
stenting (venous)","Angioplasty and bare metal stenting
(venous)","IN086A","new procedure","New","35440","44300","50400","53200","High Pressure large Ballon+Covered stent","#N/A","#N/A"
"Palliativ
e
Medicine","Urology/Medical/Surigal
Oncology/Radiotherapy","Palliative Care Approach to
managing Haematuria in
advanced cancer patients-
Endoscopic/Surgical/Radiolo
gical, Radiotherpay
interventions","Hematuria Palliative Interventions","PM001A","new procedure","New","40000","44000","50000","52000","","#N/A","#N/A"
"Palliativ
e
Medicine","Surgical
Oncology/Radiation
Oncology / Genral
Surgery","Management of bleeding
malignant head and neck /
inguinal lesions","Haemostatic Surgery in advance cancer
patient/Haemostatic Radiotherapy","PM002A","new procedure","New","40000","44000","50000","52000","","#N/A","#N/A"
