"SU","Urology","Boari flap for ureteric
stricture","Lap.","SU031B","30000","Increased","33750","42200","48000","50700","","No","NA"
"SU","Urology","Ileal replacement for ureteric
stricture","Ileal replacement for ureteric stricture","SU032A","46000","Increased","65000","81300","92300","97500","","No","NA"
"SU
SU","Urology
Urology","DJ Stent Removal
Ureterocele incision including
cystoscopy, ureteric
catheterization, retrograde
pyelogram","DJ Stent Removal
Ureterocele incision including
cystoscopy, ureteric catheterization,
retrograde pyelogram","SU034A
SU035A","5000
15000","Increased
Increased","5250
20000","6600
25000","7500
28400","6600
25000","","No
No","NA
NA"
"SU","Urology","Ureteric sampling including
cystoscopy, ureteric
catheterization, retrograde
pyelogram","Ureteric sampling including cystoscopy,
ureteric catheterization, retrograde
pyelogram","SU036A","11000","Increased","15000","18800","21300","18800","","No","NA"
"SU
SU
SU","Urology
Urology
Urology","Endopyelotomy
Endopyelotomy
Deflux for VUR","Retrograde with laser / bugbee
Antegrade with laser / bugbee
Deflux for VUR(only procedure charge)","SU038A
SU038B
SU046A","25000
25000
1200","Increased
Increased
Increased","30000
30000
4200","37500
37500
5300","42600
42600
6000","45000
45000
6300","","No
No
No","NA
NA
NA"
"SU","Urology","Bladder Neck incision -
Endoscopic","Bladder Neck incision - Endoscopic","SU054A","15000","Increased","16500","20700","23500","24800","","No","NA"
"SU
SU
SU","Urology
Urology
Urology","Urachal Cyst excision
Urachal Cyst excision
Excision of Urethral Caruncle","Urachal Cyst excision - Open
Urachal Cyst excision - Laparoscopic
Excision of Urethral Caruncle","SU058A
SU058B
SU074A","18500
18500
5000","Increased
Increased
Increased","21937.5
23812.5
5625","27500
29800
7100","31200
33900
8000","27500
29800
7100","","No
No
No","NA
NA
NA"
"SU","Urology","Open simple prostatetctomy
for BPH","Open simple prostatetctomy for BPH","SU077A","27500","Increased","29812.5","37300","42400","37300","","No","NA"
"SU
SU
SU","Urology
Urology
Urology","Radical prostatectomy
Radical prostatectomy
TURP-Transurethral
Resection of the Prostate,
BPH","Open (to be checked with surg onco)
Lap.(to be checked with surg. Onco)
Monopolar","SU078A
SU078B
SU080A","50000
50000
27500","Increased
Increased
Increased","54375
56250
30937.5","68000
70400
38700","77300
79900
44000","81600
84400
38700","","No
No
No","NA
NA
NA"
"SU","Urology","TURP-Transurethral
Resection of the Prostate,
BPH","Bipolar","SU080B","27500","Increased","30937.5","38700","44000","38700","","No","NA"
"SU","Urology","Transrectal Ultrasound
guided prostate biopsy
(minimum 12 core)","Transrectal Ultrasound guided prostate
biopsy (minimum 12 core)","SU081A","10000","Increased","10125","12700","14400","15200","","No","NA"
"SU
SU","Urology
Urology","Surgery for Priapism
Surgical Correction of
Varicocele","Shunt
Non Microsurgical","SU083B
SU089A","15000
10000","Increased
Increased","16500
10125","20700
12700","23500
14400","20700
15200","","No
Yes","NA
U/L - 10000
B/L - 15000"
"SU","Urology","Surgical Correction of
Varicocele","Microsurgical","SU089B","15000","Increased","20000","25000","28400","30000","","Yes","U/L - 15000
B/L - 20000"
"SU","Urology","Retrograde Intrarenal
Surgery with Laser
Lithotripsy","Retrograde Intrarenal Surgery with
Laser Lithotripsy","SU095A","30000","Increased","30375","38000","43200","45600","","No",""
