"SS
SS","Pediatric Surgery
Pediatric Surgery, Oral &
PlMasatxicil lo&f aRceiaclo SnustrrguecrtCyiv,lee  
Surgery","Undescended Testis
ft Lip and Palate Surgery (per staCgle)f t","Reexploration / Second Stage
Lip and Palate Surgery (per stage)","SS019E
SS001A","20000
15000","Decrease
Increased","18000
17025","22500
21300","25600
24200","22500
25600","","No
No","NA
NA"
"SS
SS
SS
SS
SS
SS
SS
SS
SS
SS","Pediatric Surgery
Pediatric Surgery
Pediatric SurgerGya
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery","Ankyloglossia
Anti GERD Surgery
strostomy + Esophagoscopy + ThreGaadsintrgo
Ladds Procedure
Duplication Cyst Excision
Intussusception
Intussusception
Surgery for Hirschsprung’s DiseasMey
Surgery for Hirschsprung’s DiseasPeul
Surgery for Hirschsprung’s
Disease","Ankyloglossia Minor
Anti GERD Surgery
stomy + Esophagoscopy + Threading
Ladds Procedure
Duplication Cyst Excision
Non – Operative Reduction in infants
Operative in infants
ectomy
l Through
Rectal Biopsy - Punch","SS002A
SS003A
SS004A
SS005A
SS006A
SS007A
SS007B
SS008A
SS008B
SS008C","5000
10000
20000
30000
20000
20000
25000
25000
20000
10000","Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased","7125
21375
22125
39000
24600
23000
27000
25575
24750
12750","9000
26800
27700
48800
30800
28800
33800
32000
31000
16000","10200
30400
31500
55400
35000
32700
38400
36400
35200
18200","10700
32100
33200
58500
36900
34500
40500
38400
37200
19200","","No
No
No
No
No
No
No
No
No
No","NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
"SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS
SS","Pediatric Surgery
Pediatric Surgery
Pediatric SurgRereyc
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric SurgerRy
Pediatric Surgery
Pediatric SurgeryS
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery","Surgery for Hirschsprung’s DiseasRee
Surgery for Hirschsprung’s DiseasSep
tal Polypectomy - Sigmoiescopic UnRdecr tGalA P
Ano Rectal Malformation
Ano Rectal Malformation
Ano Rectal Malformation
Ano Rectal Malformation
Ano Rectal Malformation
Fecal Fistula Closure
GI Tumor Excision
Congenital Diaphragmatic HerniaC
Exomphalos / Gastroschisis
Exomphalos / Gastroschisis
etro - Peritoneal Lymphangioma ExcRiseitorno
Surgery for Sacrococcygeal TeratomSuar
urgery for Congenital Lobar EmphysSeumrgae
Undescended Testis
Undescended Testis
Undescended Testis
Excision of accessory auricle
MACROSTOMIA REPAIR
PARATHYROIDECTOMY
STENSON'S DUCT
DILATATION","ctal Biopsy – Open
hinecterotomy
olypectomy - Sigmoiescopic Under GA
Abd - Perineal PSARP
Anoplasty
PSARP
Redo - Pullthrough
Transposition
Fecal Fistula Closure
GI Tumor Excision
ongenital Diaphragmatic Hernia
Exomphalos
Gastroschisis
- Peritoneal Lymphangioma Excision
gery for Sacrococcygeal Teratoma
ry for Congenital Lobar Emphysema
Bilateral - Palpable + Nonpalpable
Bilateral Palpable
Unilateral - Palpable
Excision of accessory auricle
Repair of macrostomia
Parathyroidectomy
Dilatation of Stenson's duct","SS008D
SS008E
SS009A
SS010A
SS010B
SS010D
SS010E
SS010F
SS011A
SS012A
SS013A
SS014A
SS014B
SS016A
SS017A
SS018A
SS019A
SS019B
SS019D
SS020A
SS021A
SS022A
SS023A","10000
15000
8000
20000
20000
20000
15000
15000
25000
30000
25000
25000
25000
25000
20000
25000
15000
15000
15000
new procedure
new procedure
new procedure
new procedure","Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
Increased
New
New
New
New","13125
16500
11625
25500
22875
25125
24000
21375
28275
33300
40312.5
30750
30750
26250
24375
32325
15750
15750
15750
19000
39000
39000
11000","16500
20700
14600
31900
28600
31500
30000
26800
35400
41700
50400
38500
38500
32900
30500
40500
19700
19700
19700
23800
48800
48800
13800","18700
23500
16600
36300
32500
35700
34100
30400
40200
47300
57300
43700
43700
37300
34700
46000
22400
22400
22400
27000
55400
55400
15700","19700
24800
17500
38300
34400
37700
36000
32100
42500
50000
60500
46200
46200
39400
36600
48500
19700
19700
19700
28500
58500
58500
16500","","No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
#N/A
#N/A
#N/A
#N/A","NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
#N/A
#N/A
#N/A
#N/A"
"SS","Pediatric Surgery","SUPERNUMMERY DIGIT
EXISION","Excision of supernumerary digit","SS024A","new procedure","New","14000","17500","19900","21000","","#N/A","#N/A"
"SS
SS
SS
SS
SS
SS
SS","Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery
Pediatric Surgery","SYNDACTYLY
TONGUE LACERATION
TORTICOLLIS
LIVER TRAUMA NON-OP
PORTAL HYPERTENSION
CONJOINED TWINS
ESOPHAGEAL
ATRESIA/TEF","Syndactyly repair
Repair of tongue laceration
Sternomastoid division
Non-operative management of liver trauma
NON-SHUNTS
Separation of twins
PRIMARY REPAIR","SS025A
SS026A
SS027A
SS028A
SS029A
SS030A
SS031A","new procedure
new procedure
new procedure
new procedure
new procedure
new procedure
new procedure","New
New
New
New
New
New
New","35000
14000
15000
40000
45000
95000
65000","43800
17500
18800
50000
56300
118800
81300","49700
19900
21300
56800
63900
134900
92300","52500
21000
22500
60000
67500
142500
97500","","#N/A
#N/A
#N/A
#N/A
#N/A
#N/A
#N/A","#N/A
#N/A
#N/A
#N/A
#N/A
#N/A
#N/A"
"SS
SS","Pediatric Surgery
Pediatric Surgery","MALROTATION
POSTERIOR URETHERAL
VALVES","Ladd's procedure
VESICOSTOMY","SS032A
SS033A","new procedure
new procedure","New
New","39000
41000","48800
51300","55400
58300","58500
61500","","#N/A
#N/A","#N/A
#N/A"
"SS
SS","Pediatric Surgery
Pediatric Surgery","SPLENORRHAPHY
ESOPHAGEAL DILATATION","Splenorapphy
Esophageal dilatation","SS034A
SS035A","new procedure
new procedure","New
New","31000
30000","38800
37500","44100
42600","46500
45000","","#N/A
#N/A","#N/A
#N/A"
"SS
SS","Pediatric Surgery
Pediatric Surgery","OPEN KIDNEY BIOPSY
APPENDICO-
VESICOSTOMY/Mitraffanof","Kiidney biopsy
Appendicovesicostomy or Monti procedure","SS036A
SS037A","new procedure
new procedure","New
New","33000
43000","41300
53800","46900
61100","49500
64500","","#N/A
#N/A","#N/A
#N/A"
"SS
SS
SS","Pediatric Surgery
Pediatric Surgery
Pediatric Surgery","VESICOSTOMY
SUPRAGLOTTOPLASTY
SINGLE STAGE AIRWAY
RECONSTRUCTION","Vesicostomy
Supra-glotoplasty
Airway reconstruction","SS038A
SS039A
SS040A","new procedure
new procedure
new procedure","New
New
New","28000
27000
55000","35000
33800
68800","39800
38400
78100","42000
40500
82500","","#N/A
#N/A
#N/A","#N/A
#N/A
#N/A"
"SS","Pediatric Surgery","STAGED AIRWAY
RECONSTRUCTION","Staged airway reconstruction","SS041A","new procedure","New","50000","62500","71000","75000","","#N/A","#N/A"
